"Program","Year","Period","Geo.Level","State","State.ANSI","Commodity","Type","Operation_Measure","Domain","Category_Type","Details","Value","CV...."
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","ACRES GROWN","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",46,"45.6"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","ACRES GROWN","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",165,"91.9"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","ACRES GROWN","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",676,"42.5"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","ACRES GROWN","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",409,"31.8"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","ACRES NON-BEARING","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",27,"23.5"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","ACRES NON-BEARING","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)",438,"6.4"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","ACRES NON-BEARING","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",38,"83.7"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","ACRES NON-BEARING","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",40,"52.1"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","ACRES NON-BEARING","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",169,"(H)"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",720,"50.2"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",189,"39.6"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",74,"98.6"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)",114,"34.3"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",36,"43.5"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",47,"27.1"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",52,"29.4"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",114,"63.8"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",626,"26.9"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",212,"42.6"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",76,"93.5"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)",114,"34.3"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",36,"43.5"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",47,"27.1"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",52,"29.4"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",114,"63.8"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",651,"27.8"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",32,"92.0"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",22,"39.5"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)",10,"47.4"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",1,"(H)"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",3,"83.7"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",9,"68.3"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",8,"77.8"
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",85,"58.8"
"CENSUS",2022,"YEAR","STATE","COLORADO",8,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",10,"73.5"
"CENSUS",2022,"YEAR","STATE","COLORADO",8,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",30,"47.0"
"CENSUS",2022,"YEAR","STATE","COLORADO",8,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",20,"59.7"
"CENSUS",2022,"YEAR","STATE","COLORADO",8,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",39,"18.2"
"CENSUS",2022,"YEAR","STATE","COLORADO",8,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",64,"18.8"
"CENSUS",2022,"YEAR","STATE","COLORADO",8,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",27,"26.5"
"CENSUS",2022,"YEAR","STATE","CONNECTICUT",9,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",119,"22.7"
"CENSUS",2022,"YEAR","STATE","CONNECTICUT",9,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",156,"18.6"
"CENSUS",2022,"YEAR","STATE","CONNECTICUT",9,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",37,"8.6"
"CENSUS",2022,"YEAR","STATE","CONNECTICUT",9,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",97,"17.2"
"CENSUS",2022,"YEAR","STATE","CONNECTICUT",9,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",128,"15.9"
"CENSUS",2022,"YEAR","STATE","CONNECTICUT",9,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",44,"19.4"
"CENSUS",2022,"YEAR","STATE","DELAWARE",10,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",27,"5.3"
"CENSUS",2022,"YEAR","STATE","DELAWARE",10,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",14,"46.0"
"CENSUS",2022,"YEAR","STATE","DELAWARE",10,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",16,"40.2"
"CENSUS",2022,"YEAR","STATE","DELAWARE",10,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",5,"37.9"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","ACRES BEARING","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",8,"76.1"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","ACRES BEARING","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",131,"22.2"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","ACRES GROWN","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",8,"76.1"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","ACRES GROWN","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",180,"20.1"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","ACRES GROWN","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",469,"59.9"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","ACRES GROWN","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",131,"22.2"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","ACRES NON-BEARING","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",45,"(H)"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","ACRES NON-BEARING","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",76,"13.4"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",249,"23.3"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",54,"33.2"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",82,"21.1"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)",38,"(L)"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",22,"59.0"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",43,"22.5"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",19,"18.7"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",22,"41.1"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",280,"12.6"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",54,"33.2"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",82,"21.1"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)",38,"(L)"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",22,"59.0"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",43,"22.5"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",19,"18.7"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",22,"41.1"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",280,"12.6"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",2,"82.2"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)",4,"(L)"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",3,"(H)"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",3,"(H)"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",5,"68.4"
"CENSUS",2022,"YEAR","STATE","FLORIDA",12,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",17,"31.6"
"CENSUS",2022,"YEAR","STATE","GEORGIA",13,"STRAWBERRIES","OTHER","ACRES BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",249,"13.0"
"CENSUS",2022,"YEAR","STATE","GEORGIA",13,"STRAWBERRIES","OTHER","ACRES GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",269,"12.7"
"CENSUS",2022,"YEAR","STATE","GEORGIA",13,"STRAWBERRIES","OTHER","ACRES NON-BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",21,"31.0"
"CENSUS",2022,"YEAR","STATE","GEORGIA",13,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA BEARING","TOTAL","NOT SPECIFIED","NOT SPECIFIED",121,"16.0"
"CENSUS",2022,"YEAR","STATE","GEORGIA",13,"STRAWBERRIES","OTHER","OPERATIONS WITH AREA GROWN","TOTAL","NOT SPECIFIED","NOT SPECIFIED",150,"18.6"
