"Program","Year","Period","Geo.Level","State","State.ANSI","Commodity","Market_Type","Measure_Operation","Unit_of_Measure","Domain","Chemical_Use","Chemical_Name","Chemical_Code","Value","CV...."
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(PROPICONAZOLE",NA,0.112,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(PYRACLOSTROBIN",NA,0.167,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(PYRIMETHANIL",NA,0.658,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(QUINOLINE",NA,0.095,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(SULFUR",NA,5.471,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(TETRACONAZOLE",NA,0.036,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(THIOPHANATE-METHYL",NA,0.695,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(THIRAM",NA,2.201,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(TRIFLOXYSTROBIN",NA,0.119,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE","HERBICIDE","(FLUMIOXAZIN",NA,0.078,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, HERBICIDE","HERBICIDE","(PENDIMETHALIN",NA,0.923,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(ABAMECTIN",NA,0.019,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(ACEQUINOCYL",NA,0.299,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(ACETAMIPRID",NA,0.129,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(AZADIRACHTIN",NA,0.03,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(BIFENAZATE",NA,0.5,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(BIFENTHRIN",NA,0.116,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(CHLORANTRANILIPROLE",NA,0.063,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(CYANTRANILIPROLE",NA,0.117,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(CYFLUMETOFEN",NA,0.178,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(FENPROPATHRIN",NA,0.26,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(FLONICAMID",NA,0.087,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(FLUPYRADIFURONE",NA,0.182,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(HEXYTHIAZOX",NA,0.186,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(IMIDACLOPRID",NA,0.457,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(MALATHION",NA,1.807,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(METHOXYFENOZIDE",NA,0.169,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(NOVALURON",NA,0.077,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(SPINETORAM",NA,0.071,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(SPINOSAD",NA,0.094,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(THIAMETHOXAM",NA,0.062,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, OTHER","OTHER","(CHLOROPICRIN",NA,188.284,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, OTHER","OTHER","(DICHLOROPROPENE",NA,111.391,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","CHEMICAL, OTHER","OTHER","(FLUTRIAFOL",NA,0.114,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FERTILIZER","FERTILIZER","(NITROGEN)",NA,13,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FERTILIZER","FERTILIZER","(PHOSPHATE)",NA,10,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FERTILIZER","FERTILIZER","(POTASH)",NA,13,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(AZOXYSTROBIN",NA,0.326,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(BORAX DECAHYDRATE",NA,0.093,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(BOSCALID",NA,0.885,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(CAPTAN",NA,15.932,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(CYPRODINIL",NA,0.872,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(FENHEXAMID",NA,0.753,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(FLUDIOXONIL",NA,0.599,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(FLUOPYRAM",NA,0.389,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(FLUXAPYROXAD",NA,0.294,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(MEFENOXAM",NA,0.727,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(MYCLOBUTANIL",NA,0.546,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(PENTHIOPYRAD",NA,0.49,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(POLYOXIN D ZINC SALT",NA,0.109,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(PROPICONAZOLE",NA,0.174,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(PYRACLOSTROBIN",NA,0.355,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(PYRIMETHANIL",NA,1.036,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(QUINOLINE",NA,0.193,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(SULFUR",NA,38.761,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(TETRACONAZOLE",NA,0.059,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(THIOPHANATE-METHYL",NA,1.667,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(THIRAM",NA,8.873,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","(TRIFLOXYSTROBIN",NA,0.39,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, HERBICIDE","HERBICIDE","(FLUMIOXAZIN",NA,0.315,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, HERBICIDE","HERBICIDE","(PENDIMETHALIN",NA,5.892,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(ABAMECTIN",NA,0.025,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(ACEQUINOCYL",NA,0.65,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(ACETAMIPRID",NA,0.181,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(AZADIRACHTIN",NA,0.114,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(BIFENAZATE",NA,1.094,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(BIFENTHRIN",NA,0.178,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(CHLORANTRANILIPROLE",NA,0.158,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(CYANTRANILIPROLE",NA,0.241,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(CYFLUMETOFEN",NA,0.397,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(FENPROPATHRIN",NA,0.327,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(FLONICAMID",NA,0.197,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(FLUPYRADIFURONE",NA,0.317,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(HEXYTHIAZOX",NA,0.227,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(IMIDACLOPRID",NA,0.496,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(MALATHION",NA,2.398,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(METHOXYFENOZIDE",NA,0.276,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(NOVALURON",NA,0.232,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(SPINETORAM",NA,0.125,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(SPINOSAD",NA,0.173,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","(THIAMETHOXAM",NA,0.092,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","OTHER","(CHLOROPICRIN",NA,442.413,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","OTHER","(DICHLOROPROPENE",NA,131.091,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"STRAWBERRIES","BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","OTHER","(FLUTRIAFOL",NA,0.218,""
